"","Year","y2_statefips","y2_countyfips","n2","pop_estimate","inflow_per_Capita","percentage_change","data_issue_inflow"
"1",2005,"01","001",4663,49676,0.093868266366052,NA,NA
"2",2006,"01","001",5095,51328,0.0992635598503741,5.74772891115553,0
"3",2007,"01","001",4830,52405,0.0921667779792005,-7.14943316748967,0
"4",2008,"01","001",4773,53277,0.0895883777239709,-2.79753758540999,0
"5",2009,"01","001",4499,54135,0.0831070471968228,-7.23456623706001,0
"6",2010,"01","001",4293,54773,0.0783780329724499,-5.69026861605742,0
"7",2011,"01","001",4596,55227,0.0832201640501928,6.1779186005407,0
"8",2012,"01","001",4618,54954,0.0840339192779416,0.977834202847665,0
"9",2013,"01","001",4627,54727,0.0845469329581377,0.610484057633115,0
"10",2014,"01","001",4342,54893,0.0790993387134972,-6.44327837100585,0
"11",2015,"01","001",2941,54864,0.0536052785068533,-32.2304340608775,0
"12",2016,"01","001",4326,55243,0.0783085639809569,46.0836808653933,0
"13",2017,"01","001",5702,55390,0.10294276945297,31.4578689988537,0
"14",2018,"01","001",4386,55533,0.0789800659067581,-23.2776946584473,0
"15",2019,"01","001",4307,55869,0.0770910522830192,-2.39175999924975,0
"16",2020,"01","001",4909,58902,0.0833418220094394,8.10829472591989,0
"17",2021,"01","001",4587,59210,0.0774700219557507,-7.04544238668509,0
"18",2005,"01","003",10413,162183,0.0642052496254231,NA,NA
"19",2006,"01","003",10747,168121,0.0639241974530249,-0.437740175511968,0
"20",2007,"01","003",9213,172404,0.0534384353031252,-16.4034318265868,0
"21",2008,"01","003",9444,175827,0.053711887252811,0.511713990379112,0
"22",2009,"01","003",9299,179406,0.05183215722997,-3.49965365021244,0
"23",2010,"01","003",9517,183112,0.0519736554676919,0.272993148045319,0
"24",2011,"01","003",9918,186558,0.0531630913710481,2.28853616828168,0
"25",2012,"01","003",11518,190145,0.0605748244760577,13.9415013571726,0
"26",2013,"01","003",12340,194885,0.0633193934884676,4.53087406550324,0
"27",2014,"01","003",12068,199183,0.0605874999372436,-4.31446575956462,0
"28",2015,"01","003",8342,202939,0.0411059480927766,-32.1544078640742,0
"29",2016,"01","003",12223,207601,0.0588773657159648,43.233202122179,0
"30",2017,"01","003",17981,212521,0.0846081093162558,43.7022670552566,0
"31",2018,"01","003",13693,217855,0.0628537329875376,-25.7119282117542,0
"32",2019,"01","003",12508,223234,0.0560308913516758,-10.8551096515056,0
"33",2020,"01","003",14950,233219,0.0641028389625202,14.4062452267288,0
"34",2021,"01","003",15440,239361,0.0645050781037847,0.627490369809714,0
"35",2005,"01","005",1049,28027,0.0374281942412674,NA,NA
"36",2006,"01","005",1100,27861,0.0394817127884857,5.48655522620482,0
"37",2007,"01","005",1043,27757,0.0375761069279821,-4.8265531708627,0
"38",2008,"01","005",1111,27808,0.0399525316455696,6.3242973045135,0
"39",2009,"01","005",1017,27657,0.0367718841522942,-7.96106620099042,0
"40",2010,"01","005",997,27327,0.0364840633805394,-0.782719673984457,0
"41",2011,"01","005",1195,27341,0.0437072528437146,19.798204459397,0
"42",2012,"01","005",1440,27169,0.0530015826861497,21.2649600185789,0
"43",2013,"01","005",1341,26937,0.0497828265953892,-6.07294334929651,0
"44",2014,"01","005",1088,26755,0.0406652962063166,-18.314609701003,0
"45",2015,"01","005",792,26283,0.0301335463988129,-25.8986182076986,0
"46",2016,"01","005",849,25806,0.0328993257382004,9.17840636074767,0
"47",2017,"01","005",928,25157,0.0368883412171563,12.124915600699,0
"48",2018,"01","005",839,24872,0.0337327114827919,-8.55454495984959,0
"49",2019,"01","005",814,24686,0.03297415539172,-2.24872551813351,0
"50",2020,"01","005",952,24960,0.0381410256410256,15.6694544194544,0
"51",2021,"01","005",872,24539,0.0355352703859163,-6.83189613104299,0
"52",2005,"01","007",1046,22042,0.0474548589057254,NA,NA
"53",2006,"01","007",958,22099,0.0433503778451514,-8.64923246053286,0
"54",2007,"01","007",1077,22438,0.0479989303859524,10.7232111272612,0
"55",2008,"01","007",1100,22705,0.0484474785289584,0.934496121891186,0
"56",2009,"01","007",1068,22941,0.0465542042631097,-3.90789020055399,0
"57",2010,"01","007",942,22870,0.0411893310013118,-11.5239286047666,0
"58",2011,"01","007",922,22745,0.0405363816223346,-1.58523909736817,0
"59",2012,"01","007",1062,22667,0.0468522521727622,15.5807457342164,0
"60",2013,"01","007",1055,22521,0.0468451667332712,-0.0151229432149161,0
"61",2014,"01","007",1023,22553,0.0453598190928036,-3.1707596408502,0
"62",2015,"01","007",717,22566,0.0317734645041212,-29.9524002970238,0
"63",2016,"01","007",835,22586,0.0369698043035509,16.3543380633095,0
"64",2017,"01","007",1213,22550,0.0537915742793792,45.5013768471925,0
"65",2018,"01","007",856,22367,0.038270666607055,-28.8537896134303,0
"66",2019,"01","007",802,22394,0.0358131642404215,-6.42137329842189,0
"67",2020,"01","007",857,22183,0.0386331875760718,7.87426466066723,0
"68",2021,"01","007",1045,22370,0.0467143495753241,20.9176682181347,0
"69",2005,"01","009",2584,54624,0.0473052138254247,NA,NA
"70",2006,"01","009",2769,55485,0.0499053798323871,5.49657383762828,0
"71",2007,"01","009",2956,56240,0.0525604551920341,5.32021871903265,0
"72",2008,"01","009",3039,57055,0.0532643940057839,1.33929360234392,0
"73",2009,"01","009",2963,57341,0.0516733227533527,-2.98711978635929,0
"74",2010,"01","009",2572,57376,0.0448271054099275,-13.2490364053104,0
"75",2011,"01","009",2385,57560,0.0414350243224461,-7.56703127820102,0
"76",2012,"01","009",2767,57580,0.0480548801667246,15.9764738950384,0
"77",2013,"01","009",2779,57619,0.0482306183724119,0.365703139988278,0
"78",2014,"01","009",2490,57526,0.0432847755797379,-10.2545705603125,0
"79",2015,"01","009",1944,57526,0.0337934151514098,-21.9277108433735,0
"80",2016,"01","009",2342,57494,0.0407346853584722,20.5403040088205,0
"81",2017,"01","009",3533,57787,0.0611383183068856,50.0890893567926,0
"82",2018,"01","009",2482,57771,0.042962732166658,-29.7286327847533,0
"83",2019,"01","009",2441,57826,0.0422128454328503,-1.74543539479479,0
"84",2020,"01","009",3039,59102,0.0514195797096545,21.8102669516789,0
"85",2021,"01","009",2834,59085,0.047964796479648,-6.71880876801073,0
"86",2005,"01","011",248,11011,0.0225229316138407,NA,NA
"87",2006,"01","011",285,10776,0.0264476614699332,17.4254840505783,0
"88",2007,"01","011",377,11011,0.0342384887839433,29.4575281178152,0
"89",2008,"01","011",375,10953,0.0342371952889619,-0.00377789741119978,0
"90",2009,"01","011",345,10987,0.0314007463365796,-8.28470010011833,0
"91",2010,"01","011",403,10876,0.0370540639941155,18.0037684357527,0
"92",2011,"01","011",327,10675,0.030632318501171,-17.3307454047803,0
"93",2012,"01","011",745,10606,0.0702432585329059,129.310943375771,0
"94",2013,"01","011",421,10549,0.0399089961133757,-43.184588888797,0
"95",2014,"01","011",382,10663,0.0358248147800806,-10.2337360771803,0
"96",2015,"01","011",298,10400,0.0286538461538462,-20.0167639951671,0
"97",2016,"01","011",342,10389,0.0329194340167485,14.8866153604645,0
"98",2017,"01","011",309,10176,0.0303655660377358,-7.7579340450182,0
"99",2018,"01","011",400,10174,0.0393159032828779,29.4752853742931,0
"100",2019,"01","011",293,10101,0.029007029007029,-26.2206217206217,0
"101",2020,"01","011",306,10296,0.0297202797202797,2.45888923363326,0
"102",2021,"01","011",357,10280,0.034727626459144,16.8482490272374,0
"103",2005,"01","013",751,20830,0.0360537686029765,NA,NA
"104",2006,"01","013",696,20815,0.0334374249339419,-7.25678277310131,0
"105",2007,"01","013",796,20894,0.0380970613573275,13.9353925506855,0
"106",2008,"01","013",755,20949,0.0360399064394482,-5.39977322288563,0
"107",2009,"01","013",711,20867,0.0340729381319787,-5.45775087061956,0
"108",2010,"01","013",690,20932,0.0329638830498758,-3.25494407851504,0
"109",2011,"01","013",768,20866,0.0368062877408224,11.6564079696948,0
"110",2012,"01","013",828,20670,0.0400580551523948,8.83481494920174,0
"111",2013,"01","013",796,20356,0.0391039496954215,-2.38180673860358,0
"112",2014,"01","013",691,20327,0.0339941949131697,-13.0671065763214,0
"113",2015,"01","013",556,20162,0.0275766293026485,-18.8784162322812,0
"114",2016,"01","013",545,20012,0.0272336598041175,-1.24369622830618,0
"115",2017,"01","013",754,19888,0.037912308930008,39.2112158362057,0
"116",2018,"01","013",625,19631,0.0318374000305639,-16.0235793358283,0
"117",2019,"01","013",593,19448,0.0304915672562731,-4.22720691073633,0
"118",2020,"01","013",597,19031,0.0313698702117598,2.88047822568362,0
"119",2021,"01","013",654,18855,0.0346857597454256,10.5703004548065,0
"120",2005,"01","015",4217,114477,0.0368370939140613,NA,NA
"121",2006,"01","015",4682,115388,0.0405761430998024,10.1502284476187,0
"122",2007,"01","015",4417,116211,0.0380084501467159,-6.32808531547943,0
"123",2008,"01","015",4634,117274,0.0395142998448079,3.96188135080301,0
"124",2009,"01","015",4452,118363,0.0376131054468035,-4.81140854189834,0
"125",2010,"01","015",4151,118408,0.0350567529220999,-6.79644101261218,0
"126",2011,"01","015",3812,117744,0.0323753227340671,-7.64882644434062,0
"127",2012,"01","015",4552,117190,0.0388429046847001,19.9768879642005,0
"128",2013,"01","015",4827,116471,0.0414437928754797,6.69591579695672,0
"129",2014,"01","015",4238,115917,0.0365606425287059,-11.7825855404826,0
"130",2015,"01","015",3263,115469,0.0282586668283262,-22.7074119221545,0
"131",2016,"01","015",4239,114973,0.0368695258886869,30.4715686436037,0
"132",2017,"01","015",5306,114710,0.0462557754337024,25.4580153087772,0
"133",2018,"01","015",4284,114331,0.0374701524520909,-18.9935697742303,0
"134",2019,"01","015",4031,113605,0.035482593195722,-5.30437995658042,0
"135",2020,"01","015",4677,116239,0.040236065348119,13.3966312049877,0
"136",2021,"01","015",4460,115677,0.0385556333584031,-4.17643220125245,0
"137",2005,"01","017",1431,35279,0.0405623742169563,NA,NA
"138",2006,"01","017",1485,34945,0.0424953498354557,4.76544003110008,0
"139",2007,"01","017",1614,34847,0.0463167561052601,8.99252808742865,0
"140",2008,"01","017",1573,34563,0.0455110956803518,-1.73945779595911,0
"141",2009,"01","017",1390,34384,0.0404257794322941,-11.1737943726395,0
"142",2010,"01","017",1531,34122,0.0448684133403669,10.9896060644012,0
"143",2011,"01","017",1881,34033,0.0552698851115094,23.1821698089435,0
"144",2012,"01","017",2027,34104,0.0594358433028384,7.53748299444436,0
"145",2013,"01","017",2176,34139,0.0637394182606403,7.24070648055637,0
"146",2014,"01","017",1825,33977,0.0537128057215175,-15.7306307662277,0
"147",2015,"01","017",1385,33996,0.0407400870690669,-24.1520033783185,0
"148",2016,"01","017",1655,33745,0.0490443028596829,20.3834021673488,0
"149",2017,"01","017",1969,33707,0.0584151659892604,19.1069351243258,0
"150",2018,"01","017",1578,33600,0.0469642857142857,-19.6025810781397,0
"151",2019,"01","017",1363,33254,0.0409875503698803,-12.7261284899887,0
"152",2020,"01","017",1484,34645,0.0428344638475971,4.50603527424743,0
"153",2021,"01","017",1564,34446,0.0454044010915636,5.99969513593134,0
"154",2005,"01","019",965,25031,0.0385521952778555,NA,NA
"155",2006,"01","019",1149,25466,0.0451189821723082,17.033496658554,0
"156",2007,"01","019",1025,25553,0.0401127069228662,-11.0957184945422,0
"157",2008,"01","019",947,25636,0.0369402402870963,-7.90888194573941,0
"158",2009,"01","019",1008,25854,0.0389881643072639,5.54388386283173,0
"159",2010,"01","019",920,25963,0.0354350421754035,-9.11333527749197,0
"160",2011,"01","019",965,25989,0.0371310939243526,4.7863686476051,0
"161",2012,"01","019",1148,25958,0.0442252870020803,19.1058014401103,0
"162",2013,"01","019",1102,26017,0.042356920475074,-4.22465664704088,0
"163",2014,"01","019",994,25895,0.0383857887623093,-9.3754023385661,0
"164",2015,"01","019",755,25732,0.0293408984921499,-23.5631220871006,0
"165",2016,"01","019",989,25768,0.0383809375970196,30.8103690392725,0
"166",2017,"01","019",1428,25805,0.0553381127688432,44.1812426519265,0
"167",2018,"01","019",1178,26014,0.0452833089874683,-18.1697627155729,0
"168",2019,"01","019",1157,26196,0.0441670484043365,-2.46505966125547,0
"169",2020,"01","019",1318,24972,0.0527791126061189,19.4988447562567,0
"170",2021,"01","019",1414,25026,0.0565012387117398,7.05227110087754,0
"171",2005,"01","021",1647,41946,0.0392647689886998,NA,NA
"172",2006,"01","021",1774,42318,0.0419206956850513,6.76414700699216,0
"173",2007,"01","021",1893,42881,0.0441454257130197,5.30699691790133,0
"174",2008,"01","021",1781,43239,0.0411896667360485,-6.69550452675675,0
"175",2009,"01","021",1956,43484,0.0449820623677675,9.20715298820309,0
"176",2010,"01","021",1831,43653,0.0419444253545003,-6.75299631313448,0
"177",2011,"01","021",1706,43689,0.0390487308018037,-6.9036457842089,0
"178",2012,"01","021",2235,43582,0.0512826396218622,31.329850084381,0
"179",2013,"01","021",2319,43628,0.0531539378380856,3.64898965814086,0
"180",2014,"01","021",2056,43760,0.0469835466179159,-11.6085307526332,0
"181",2015,"01","021",1421,43700,0.0325171624713959,-30.7903195647722,0
"182",2016,"01","021",1713,43866,0.0390507454520585,20.092721763192,0
"183",2017,"01","021",2173,44120,0.0492520398912058,26.1231746566044,0
"184",2018,"01","021",1878,44163,0.042524285034984,-13.6598501728718,0
"185",2019,"01","021",1550,44428,0.0348879085261547,-17.9576834802679,0
"186",2020,"01","021",1915,45051,0.0425073805242947,21.8398646408622,0
"187",2021,"01","021",1936,45259,0.0427760224485738,0.631988894553352,0
"188",2005,"01","023",352,14545,0.0242007562736336,NA,NA
"189",2006,"01","023",428,14431,0.0296583743330331,22.5514359869221,0
"190",2007,"01","023",410,14216,0.0288407428249859,-2.75683184407196,0
"191",2008,"01","023",417,14114,0.0295451324925606,2.44234232054662,0
"192",2009,"01","023",458,13976,0.0327704636519748,10.9166244565881,0
"193",2010,"01","023",399,13849,0.0288107444580836,-12.0831955139352,0
"194",2011,"01","023",404,13609,0.0296862370490117,3.03877115081775,0
"195",2012,"01","023",502,13563,0.0370124603701246,24.6788547467885,0
"196",2013,"01","023",387,13397,0.0288870642681197,-21.9531369186239,0
"197",2014,"01","023",391,13317,0.0293609671848014,1.6405367893499,0
"198",2015,"01","023",361,13231,0.027284407830096,-7.07251686102602,0
"199",2016,"01","023",329,13045,0.0252203909543887,-7.56482196190684,0
"200",2017,"01","023",395,12925,0.0305609284332689,21.1754745933107,0
"201",2018,"01","023",306,12833,0.0238447751889659,-21.9762735905355,0
"202",2019,"01","023",254,12589,0.020176344427675,-15.3846313593619,0
"203",2020,"01","023",376,12619,0.0297963388541089,47.6795708009357,0
"204",2021,"01","023",292,12549,0.0232687863574787,-21.9072300412171,0
"205",2005,"01","025",789,26764,0.029479898370946,NA,NA
"206",2006,"01","025",972,26755,0.036329658007849,23.2353570243436,0
"207",2007,"01","025",813,26436,0.0307535179300953,-15.3487271378909,0
"208",2008,"01","025",947,26283,0.0360308944945402,17.1602370058628,0
"209",2009,"01","025",934,26038,0.0358706505876027,-0.444740296308053,0
"210",2010,"01","025",789,25766,0.0306217495924862,-14.6328569711824,0
"211",2011,"01","025",903,25587,0.0352913588931879,15.249322337374,0
"212",2012,"01","025",814,25155,0.0323593718942556,-8.30794588501458,0
"213",2013,"01","025",1011,25123,0.0402420093141743,24.3596737466897,0
"214",2014,"01","025",928,24864,0.0373230373230373,-7.25354434553248,0
"215",2015,"01","025",671,24698,0.0271681917564175,-27.207982776771,0
"216",2016,"01","025",703,24340,0.0288824979457683,6.30997530023622,0
"217",2017,"01","025",810,24063,0.0336616381997257,16.5468383757218,0
"218",2018,"01","025",758,23918,0.0316916130111213,-5.85243408807252,0
"219",2019,"01","025",626,23622,0.026500719668106,-16.3793914219315,0
"220",2020,"01","025",665,22981,0.0289369479134938,9.19306447484817,0
"221",2021,"01","025",800,22715,0.0352190182698657,21.7095126104939,0
"222",2005,"01","027",477,14077,0.033885060737373,NA,NA
"223",2006,"01","027",601,14053,0.0427666690386394,26.2109853368821,0
"224",2007,"01","027",580,14085,0.0411785587504437,-3.71342993011885,0
"225",2008,"01","027",679,14161,0.0479485912011864,16.4406736325362,0
"226",2009,"01","027",676,14006,0.0482650292731686,0.659952803732123,0
"227",2010,"01","027",543,13898,0.0390703698373867,-19.0503550381009,0
"228",2011,"01","027",543,13687,0.0396726821071089,1.54160882589318,0
"229",2012,"01","027",571,13434,0.0425040940896233,7.13693108741708,0
"230",2013,"01","027",640,13404,0.0477469412115786,12.3349226333358,0
"231",2014,"01","027",545,13441,0.0405475783051856,-15.0781656870768,0
"232",2015,"01","027",400,13415,0.0298173686172195,-26.463256590083,0
"233",2016,"01","027",499,13393,0.0372582692451281,24.9549204808482,0
"234",2017,"01","027",676,13350,0.0506367041198502,35.9072902359025,0
"235",2018,"01","027",554,13294,0.0416729351587182,-17.70211769691,0
"236",2019,"01","027",456,13235,0.0344540989799773,-17.3226007509353,0
"237",2020,"01","027",541,14211,0.0380691014003237,10.4922274195798,0
"238",2021,"01","027",582,14190,0.041014799154334,7.73776539412958,0
"239",2005,"01","029",640,14368,0.044543429844098,NA,NA
"240",2006,"01","029",716,14538,0.0492502407483835,10.5667904801211,0
"241",2007,"01","029",752,14799,0.0508142442056896,3.17562601428981,0
"242",2008,"01","029",741,14874,0.0498184751916095,-1.95962574991631,0
"243",2009,"01","029",768,14918,0.0514814318273227,3.33803198375139,0
"244",2010,"01","029",689,15004,0.045921087709944,-10.800678846752,0
"245",2011,"01","029",656,14928,0.0439442658092176,-4.30482377336712,0
"246",2012,"01","029",800,14889,0.0537309423064007,22.2706565167606,0
"247",2013,"01","029",1012,14976,0.0675747863247863,25.7651241987179,0
"248",2014,"01","029",750,15026,0.0499134832956209,-26.1359361822906,0
"249",2015,"01","029",501,14914,0.0335925975593402,-32.6983505431139,0
"250",2016,"01","029",648,14848,0.0436422413793103,29.9162450960149,0
"251",2017,"01","029",947,14899,0.0635613128397879,45.6417242353659,0
"252",2018,"01","029",616,15010,0.0410393071285809,-35.4335124700393,0
"253",2019,"01","029",653,14910,0.0437961099932931,6.71746931807294,0
"254",2020,"01","029",733,15063,0.0486622850693753,11.1109755565675,0
"255",2021,"01","029",778,15148,0.0513599155003961,5.5435753318508,0
"256",2005,"01","031",3587,45604,0.0786553811069204,NA,NA
"257",2006,"01","031",3987,46228,0.0862464307346197,9.65102389800941,0
"258",2007,"01","031",4218,47458,0.0888785873825277,3.05190211987688,0
"259",2008,"01","031",4324,48516,0.0891252370352049,0.277513020785985,0
"260",2009,"01","031",4384,49440,0.0886731391585761,-0.507261345571786,0
"261",2010,"01","031",4387,50208,0.0873765137029955,-1.462252794797,0
"262",2011,"01","031",4120,50444,0.0816747284117041,-6.52553535229456,0
"263",2012,"01","031",4609,51141,0.0901233843687061,10.3442718712382,0
"264",2013,"01","031",4338,50681,0.0855942069019948,-5.02552972065702,0
"265",2014,"01","031",4076,50657,0.0804627198610261,-5.99513358052871,0
"266",2015,"01","031",3005,50963,0.0589643466828876,-26.71842713653,0
"267",2016,"01","031",4187,51202,0.0817741494472872,38.6840591774409,0
"268",2017,"01","031",5597,51853,0.107939752762617,31.9974019811688,0
"269",2018,"01","031",4045,51950,0.0778633301251203,-27.8640833128843,0
"270",2019,"01","031",4058,52342,0.0775285621489435,-0.429943049749957,0
"271",2020,"01","031",4691,53547,0.0876052813416251,12.9974281908167,0
"272",2021,"01","031",4226,54171,0.0780122205608167,-10.9503224393509,0
"273",2005,"01","033",2165,54359,0.0398278114019758,NA,NA
"274",2006,"01","033",2392,54413,0.0439600830683844,10.3753420560881,0
"275",2007,"01","033",2334,54486,0.0428366919942738,-2.55547987105276,0
"276",2008,"01","033",2534,54473,0.0465184586859545,8.59489031546347,0
"277",2009,"01","033",2438,54426,0.0447947672068497,-3.7053924996558,0
"278",2010,"01","033",2295,54524,0.0420915560120314,-6.03465842859636,0
"279",2011,"01","033",2243,54539,0.0411265333064413,-2.29267529410007,0
"280",2012,"01","033",2696,54570,0.0494044346710647,20.1278850880605,0
"281",2013,"01","033",2798,54529,0.0513121458306589,3.86141683898579,0
"282",2014,"01","033",2471,54462,0.0453710844258382,-11.578275101625,0
"283",2015,"01","033",1949,54417,0.0358160133781723,-21.0598251476318,0
"284",2016,"01","033",2482,54497,0.0455437914013615,27.1604154278035,0
"285",2017,"01","033",3170,54695,0.0579577657921199,27.257226525913,0
"286",2018,"01","033",2563,55004,0.0465966111555523,-19.6024716986456,0
"287",2019,"01","033",2551,55241,0.0461794681486577,-0.895221769458915,0
"288",2020,"01","033",2874,57299,0.0501579434196059,8.61524705772055,0
"289",2021,"01","033",2886,57619,0.0500876447005328,-0.140154707869538,0
"290",2005,"01","035",465,13421,0.0346471946948812,NA,NA
"291",2006,"01","035",664,13603,0.0488127618907594,40.885177921695,0
"292",2007,"01","035",470,13441,0.0349676363365821,-28.3637414026316,0
"293",2008,"01","035",626,13388,0.0467582910068718,33.7187637070988,0
"294",2009,"01","035",487,13274,0.0366882627693235,-21.5363479303989,0
"295",2010,"01","035",455,13236,0.0343759443940768,-6.30261070082649,0
"296",2011,"01","035",509,13195,0.0385752178855627,12.2157327325952,0
"297",2012,"01","035",522,13046,0.0400122642955695,3.72530989784673,0
"298",2013,"01","035",526,12912,0.0407372986369269,1.81203027152264,0
"299",2014,"01","035",508,12677,0.0400725723751676,-1.63173868666076,0
"300",2015,"01","035",431,12678,0.0339958984066887,-15.1641724209462,0
"301",2016,"01","035",438,12500,0.03504,3.07125754060326,0
"302",2017,"01","035",605,12431,0.048668650953262,38.8945518072546,0
"303",2018,"01","035",375,12292,0.0305076472502441,-37.3156094268126,0
"304",2019,"01","035",438,12067,0.0362973398524903,18.9778403911494,0
"305",2020,"01","035",449,11553,0.038864364234398,7.07221078001839,0
"306",2021,"01","035",416,11320,0.0367491166077739,-5.44264049674582,0
"307",2005,"01","037",661,11467,0.0576436731490364,NA,NA
"308",2006,"01","037",680,11451,0.0593834599598288,3.01817478961531,0
"309",2007,"01","037",726,11439,0.0634670862837661,6.8767066228537,0
"310",2008,"01","037",728,11493,0.0633429043765771,-0.195663476079206,0
"311",2009,"01","037",827,11410,0.0724802804557406,14.4252559447564,0
"312",2010,"01","037",706,11780,0.0599320882852292,-17.312560177211,0
"313",2011,"01","037",535,11486,0.0465784433223054,-22.2812942865782,0
"314",2012,"01","037",1030,11346,0.0907808919442975,94.8989392284489,0
"315",2013,"01","037",713,11254,0.0633552514661454,-30.2108074626325,0
"316",2014,"01","037",657,11037,0.0595270453927698,-6.04244476153843,0
"317",2015,"01","037",494,10934,0.0451801719407353,-24.1014371826643,0
"318",2016,"01","037",628,10819,0.0580460301321749,28.4767800536842,0
"319",2017,"01","037",685,10724,0.0638754196195449,10.0427014114422,0
"320",2018,"01","037",628,10643,0.0590059193836324,-7.62343365400376,0
"321",2019,"01","037",576,10663,0.0540185688830535,-8.45228843593329,0
"322",2020,"01","037",576,10341,0.0557006092254134,3.11381877961512,0
"323",2021,"01","037",640,10366,0.0617403048427552,10.8431410380089,0
"324",2005,"01","039",1258,37204,0.0338135684335018,NA,NA
"325",2006,"01","039",1591,37441,0.0424935231430784,25.6700345798959,0
"326",2007,"01","039",1401,37631,0.0372299433977306,-12.3867812222231,0
"327",2008,"01","039",1457,37545,0.0388067652150752,4.23535915835093,0
"328",2009,"01","039",1456,37648,0.0386740331491713,-0.342033316016793,0
"329",2010,"01","039",1408,37809,0.0372398106270994,-3.70848966421448,0
"330",2011,"01","039",1519,38020,0.0399526564965807,7.28480038914924,0
"331",2012,"01","039",1616,37805,0.0427456685623595,6.99080439373979,0
"332",2013,"01","039",1542,37814,0.0407785476278627,-4.60191874558483,0
"333",2014,"01","039",1285,37760,0.0340307203389831,-16.5474929378531,0
"334",2015,"01","039",1027,37556,0.0273458302268612,-19.6436926563206,0
"335",2016,"01","039",1131,37382,0.0302552030388957,10.6391826026064,0
"336",2017,"01","039",1606,37062,0.0433327936970482,43.224270025027,0
"337",2018,"01","039",1348,36953,0.0364787703298785,-15.8171739747225,0
"338",2019,"01","039",1295,37049,0.0349537099516856,-4.180679240012,0
"339",2020,"01","039",1261,37507,0.0336203908603727,-3.8145281091931,0
"340",2021,"01","039",1609,37542,0.0428586649619093,27.4781876864657,0
"341",2005,"01","041",648,13699,0.0473027228264837,NA,NA
"342",2006,"01","041",729,13880,0.052521613832853,11.0329610951009,0
"343",2007,"01","041",717,13956,0.0513757523645744,-2.18169508637965,0
"344",2008,"01","041",710,13922,0.0509984197672748,-0.734456586877634,0
"345",2009,"01","041",710,14024,0.0506274957216201,-0.727324586423277,0
"346",2010,"01","041",645,13869,0.0465065974475449,-8.13964470360993,0
"347",2011,"01","041",654,13894,0.0470706779904995,1.21290434887402,0
"348",2012,"01","041",766,13915,0.0550485088034495,16.9486209961969,0
"349",2013,"01","041",731,13847,0.0527912183144363,-4.10054793141232,0
"350",2014,"01","041",670,13851,0.0483719587033427,-8.37120216618514,0
"351",2015,"01","041",538,13850,0.0388447653429603,-19.6956948111428,0
"352",2016,"01","041",619,13916,0.0444811727507905,14.5100822673695,0
"353",2017,"01","041",687,13858,0.0495742531389811,11.4499687693152,0
"354",2018,"01","041",603,13825,0.0436166365280289,-12.017562007944,0
"355",2019,"01","041",516,13772,0.0374673250072611,-14.0985458996045,0
"356",2020,"01","041",595,13165,0.0451955943790353,20.6266910442005,0
"357",2021,"01","041",567,13056,0.0434283088235294,-3.91030493079585,0
"358",2005,"01","043",2978,78692,0.0378437452345855,NA,NA
"359",2006,"01","043",2755,79044,0.034854005364101,-7.90022195729227,0
"360",2007,"01","043",3043,79576,0.0382401729164572,9.71528958288366,0
"361",2008,"01","043",3078,80273,0.0383441505861249,0.271906902447287,0
"362",2009,"01","043",2813,80351,0.0350088984580155,-8.69820318647581,0
"363",2010,"01","043",2643,80456,0.032850253554738,-6.16598921518831,0
"364",2011,"01","043",2503,80410,0.0311279691580649,-5.24283440857848,0
"365",2012,"01","043",2982,80279,0.0371454552249032,19.3314444520361,0
"366",2013,"01","043",3086,80690,0.0382451357045483,2.96047113432028,0
"367",2014,"01","043",3073,81068,0.0379064489070903,-0.885568298343501,0
"368",2015,"01","043",2297,81761,0.0280940790841599,-25.8857532315432,0
"369",2016,"01","043",2844,82450,0.0344936325045482,22.7790111974038,0
"370",2017,"01","043",3770,82867,0.0454945877128411,31.8927129720023,0
"371",2018,"01","043",3109,83418,0.037270133544319,-18.0778738350907,0
"372",2019,"01","043",3047,83768,0.0363742717983001,-2.40369878190431,0
"373",2020,"01","043",3931,88131,0.0446040553267295,22.6252873846235,0
"374",2021,"01","043",4094,89618,0.0456827869401236,2.4184608450785,0
"375",2005,"01","045",4998,49050,0.101896024464832,NA,NA
"376",2006,"01","045",5257,49077,0.107117386963343,5.12420629355722,0
"377",2007,"01","045",5308,49488,0.107258325250566,0.131573679323139,0
"378",2008,"01","045",5133,49871,0.102925547913617,-4.03957205823126,0
"379",2009,"01","045",5130,49854,0.102900469370562,-0.0243657124625002,0
"380",2010,"01","045",5178,50394,0.102750327419931,-0.145909879274138,0
"381",2011,"01","045",5117,50122,0.102090898208372,-0.641778209488662,0
"382",2012,"01","045",5597,50289,0.111296705044841,9.01726500405534,0
"383",2013,"01","045",5070,49771,0.101866548793474,-8.47298780998715,0
"384",2014,"01","045",4753,49414,0.0961873153357348,-5.57517018590025,0
"385",2015,"01","045",3499,49365,0.0708801782639522,-26.3102644911649,0
"386",2016,"01","045",4868,49362,0.0986183704063855,39.1339198374169,0
"387",2017,"01","045",6285,49342,0.127376271736046,29.1607955101627,0
"388",2018,"01","045",4984,49143,0.101418309830495,-20.378961914777,0
"389",2019,"01","045",4683,49172,0.0952371268201415,-6.09474070380787,0
"390",2020,"01","045",5167,49253,0.104907315290439,10.1538011416074,0
"391",2021,"01","045",5106,49412,0.103335222213228,-1.49855429324373,0
