"","y2_statefips","y2_countyfips","n2","Year"
"221","06","073",109195,2005
"222","06","075",37429,2005
"223","06","077",31716,2005
"224","06","079",10374,2005
"225","06","081",32601,2005
"226","06","083",13867,2005
"227","06","085",59169,2005
"228","06","087",8553,2005
"229","06","089",7628,2005
"230","06","091",211,2005
"231","06","093",2064,2005
"232","06","095",21228,2005
"233","06","097",13506,2005
"234","06","099",21483,2005
"235","06","101",5729,2005
"236","06","103",3098,2005
"237","06","105",572,2005
"238","06","107",13094,2005
"239","06","109",2562,2005
"240","06","111",27318,2005
"241","06","113",10385,2005
"242","06","115",7040,2005
"243","08","001",33087,2005
"244","08","003",909,2005
"245","08","005",41568,2005
"246","08","007",855,2005
"247","08","009",147,2005
"248","08","011",255,2005
"249","08","013",16330,2005
"250","08","014",5480,2005
"251","08","015",1024,2005
"252","08","017",96,2005
"253","08","019",716,2005
"254","08","021",327,2005
"255","08","023",154,2005
"256","08","025",189,2005
"257","08","027",313,2005
"258","08","029",1528,2005
"259","08","031",42517,2005
"260","08","033",124,2005
"261","08","035",24818,2005
"262","08","037",3314,2005
"263","08","039",1693,2005
"264","08","041",39985,2005
"265","08","043",2289,2005
"266","08","045",3178,2005
"267","08","047",424,2005
"268","08","049",871,2005
"269","08","051",993,2005
"270","08","053",43,2005
"271","08","055",364,2005
"272","08","057",124,2005
"273","08","059",32726,2005
"274","08","061",103,2005
"275","08","063",351,2005
"276","08","065",445,2005
"277","08","067",2963,2005
"278","08","069",15552,2005
"279","08","071",779,2005
"280","08","073",228,2005
"281","08","075",814,2005
"282","08","077",6633,2005
"283","08","079",45,2005
"284","08","081",702,2005
"285","08","083",1335,2005
"286","08","085",2289,2005
"287","08","087",1138,2005
"288","08","089",752,2005
"289","08","091",306,2005
"290","08","093",1315,2005
"291","08","095",204,2005
"292","08","097",1158,2005
"293","08","099",485,2005
"294","08","101",5561,2005
"295","08","103",439,2005
"296","08","105",738,2005
"297","08","107",1452,2005
"298","08","109",258,2005
"299","08","111",49,2005
"300","08","113",517,2005
"301","08","115",107,2005
"302","08","117",2128,2005
"303","08","119",2118,2005
"304","08","121",219,2005
"305","08","123",15791,2005
"306","08","125",487,2005
"307","09","001",26926,2005
"308","09","003",25454,2005
"309","09","005",7681,2005
"310","09","007",7734,2005
"311","09","009",26719,2005
"312","09","011",11911,2005
"313","09","013",7225,2005
"314","09","015",5157,2005
"315","10","001",9415,2005
"316","10","003",18516,2005
"317","10","005",8507,2005
"318","11","001",33307,2005
"319","12","001",13173,2005
"320","12","003",1331,2005
"321","12","005",11573,2005
"322","12","007",1434,2005
"323","12","009",29702,2005
"324","12","011",87075,2005
"325","12","013",670,2005
"326","12","015",10952,2005
"327","12","017",9849,2005
"328","12","019",17646,2005
"329","12","021",20219,2005
"330","12","023",3925,2005
"331","12","027",1624,2005
"332","12","029",801,2005
"333","12","031",46913,2005
"334","12","033",18592,2005
"335","12","035",9563,2005
"336","12","037",574,2005
"337","12","039",2089,2005
"338","12","041",1233,2005
"339","12","043",753,2005
"340","12","045",801,2005
"341","12","047",597,2005
"342","12","049",1062,2005
"343","12","051",2200,2005
"344","12","053",13707,2005
"345","12","055",5901,2005
"346","12","057",70719,2005
"347","12","059",990,2005
"348","12","061",8927,2005
"349","12","063",2283,2005
"350","12","065",782,2005
"351","12","067",320,2005
"352","12","069",25222,2005
"353","12","071",42964,2005
"354","12","073",13580,2005
"355","12","075",2701,2005
"356","12","077",393,2005
"357","12","079",696,2005
"358","12","081",22474,2005
"359","12","083",22087,2005
"360","12","085",9910,2005
"361","12","086",56360,2005
"362","12","087",5783,2005
"363","12","089",5053,2005
"364","12","091",16224,2005
"365","12","093",2089,2005
"366","12","095",79305,2005
"367","12","097",24657,2005
"368","12","099",63224,2005
"369","12","101",38624,2005
"370","12","103",43049,2005
"371","12","105",34005,2005
"372","12","107",3629,2005
"373","12","109",16007,2005
"374","12","111",22672,2005
"375","12","113",13505,2005
"376","12","115",26755,2005
"377","12","117",35871,2005
"378","12","119",7288,2005
"379","12","121",2536,2005
"380","12","123",815,2005
"381","12","125",663,2005
"382","12","127",28814,2005
"383","12","129",1952,2005
"384","12","131",4222,2005
"385","12","133",1426,2005
"386","13","001",697,2005
"387","13","003",319,2005
"388","13","005",357,2005
"389","13","007",166,2005
"390","13","009",1610,2005
"391","13","011",1317,2005
"392","13","013",5390,2005
"393","13","015",5731,2005
"394","13","017",809,2005
"395","13","019",1066,2005
"396","13","021",6773,2005
"397","13","023",575,2005
"398","13","025",859,2005
"399","13","027",874,2005
"400","13","029",3289,2005
"401","13","031",3202,2005
"402","13","033",1042,2005
"403","13","035",1524,2005
"404","13","037",225,2005
"405","13","039",5017,2005
"406","13","043",503,2005
"407","13","045",6605,2005
"408","13","047",4297,2005
"409","13","049",523,2005
"410","13","051",13064,2005
"411","13","053",2330,2005
"412","13","055",865,2005
"413","13","057",16021,2005
"414","13","059",6400,2005
"415","13","061",123,2005
"416","13","063",23285,2005
"417","13","065",235,2005
"418","13","067",62116,2005
"419","13","069",1396,2005
"420","13","071",1372,2005
"421","13","073",9384,2005
"422","13","075",851,2005
"423","13","077",7988,2005
"424","13","079",768,2005
"425","13","081",841,2005
"426","13","083",860,2005
"427","13","085",1631,2005
"428","13","087",1055,2005
"429","13","089",49856,2005
"430","13","091",636,2005
"431","13","093",626,2005
"432","13","095",4603,2005
"433","13","097",12152,2005
"434","13","099",427,2005
"435","13","101",166,2005
"436","13","103",3941,2005
"437","13","105",627,2005
"438","13","107",829,2005
"439","13","109",428,2005
"440","13","111",1089,2005
"441","13","113",8788,2005
"442","13","115",3373,2005
"443","13","117",12712,2005
"444","13","119",1247,2005
"445","13","121",67179,2005
"446","13","123",1428,2005
"447","13","125",160,2005
"448","13","127",3818,2005
"449","13","129",2759,2005
"450","13","131",1003,2005
"451","13","133",757,2005
"452","13","135",53579,2005
"453","13","137",2157,2005
"454","13","139",8944,2005
"455","13","141",335,2005
"456","13","143",1663,2005
"457","13","145",2337,2005
"458","13","147",1134,2005
"459","13","149",725,2005
"460","13","151",17626,2005
"461","13","153",9701,2005
"462","13","155",572,2005
"463","13","157",4798,2005
"464","13","159",985,2005
"465","13","161",587,2005
"466","13","163",525,2005
"467","13","165",294,2005
"468","13","167",278,2005
"469","13","169",1723,2005
"470","13","171",1069,2005
"471","13","173",636,2005
"472","13","175",1800,2005
"473","13","177",2572,2005
"474","13","179",8322,2005
"475","13","181",310,2005
"476","13","183",1229,2005
"477","13","185",6377,2005
"478","13","187",1850,2005
"479","13","189",1057,2005
"480","13","191",609,2005
"481","13","193",414,2005
"482","13","195",1496,2005
"483","13","197",400,2005
"484","13","199",1321,2005
"485","13","201",247,2005
"486","13","205",961,2005
"487","13","207",1460,2005
"488","13","209",460,2005
"489","13","211",1073,2005
"490","13","213",2380,2005
"491","13","215",12975,2005
"492","13","217",8442,2005
"493","13","219",2397,2005
"494","13","221",819,2005
"495","13","223",11328,2005
"496","13","225",1796,2005
