"","Year","total_n2"
"1",2011,15037241
"2",2012,15425259
"3",2013,14446463
"4",2014,10883258
"5",2015,14715906
"6",2016,19595852
"7",2017,15244287
"8",2018,14622044
"9",2019,16172232
"10",2020,16029345
